Year ,KLK_Reconstruction_Flow_AF,KLK_Lower_50_Percent_Flow_AF,KLK_Upper_50_Percent_Flow_AF,TRN_Reconstruction_Flow_AF,TRN_Lower_50_Percent_Flow_AF,TRN_Upper_50_Percent_Flow_AF,KFL_Reconstruction_Precip_Inches,KFL_Lower_50_Percent_Precip_Inches,KFL_Upper_50_Percent_Precip_Inches,KFS_Reconstruction_Precip_Inches,KFS_Lower_50_Percent_Precip_Inches,KFS_Upper_50_Percent_Precip_Inches,WEA_Reconstruction_Precip_Inches,WEA_Lower_50_Percent_Precip_Inches,WEA_Upper_50_Percent_Precip_Inches,YRK_Reconstruction_Precip_Inches,YRK_Lower_50_Percent_Precip_Inches,YRK_Upper_50_Percent_Precip_Inches,FTO_Reconstruction_Flow_AF,FTO_Lower_50_Percent_Flow_AF,FTO_Upper_50_Percent_Flow_AF,YRS_Reconstruction_Flow_AF,YRS_Lower_50_Percent_Flow_AF,YRS_Upper_50_Percent_Flow_AF,AMF_Reconstruction_Flow_AF,AMF_Lower_50_Percent_Flow_AF,AMF_Upper_50_Percent_Flow_AF,SBB_Reconstruction_Flow_AF,SBB_Lower_50_Percent_Flow_AF,SBB_Upper_50_Percent_Flow_AF,SAC4_Reconstruction_Flow_AF,SAC4_Lower_50_Percent_Flow_AF,SAC4_Upper_50_Percent_Flow_AF,SNS_Reconstruction_Flow_AF,SNS_Lower_50_Percent_Flow_AF,SNS_Upper_50_Percent_Flow_AF,TLG_Reconstruction_Flow_AF,TLG_Lower_50_Percent_Flow_AF,TLG_Upper_50_Percent_Flow_AF,MRC_Reconstruction_Flow_AF,MRC_Lower_50_Percent_Flow_AF,MRC_Upper_50_Percent_Flow_AF,SJF_Reconstruction_Flow_AF,SJF_Lower_50_Percent_Flow_AF,SJF_Upper_50_Percent_Flow_AF,SJQ4_Reconstruction_Flow_AF,SJQ4_Lower_50_Percent_Flow_AF,SJQ4_Upper_50_Percent_Flow_AF
942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3334000,2455800,4332300,1706500,1231200,2181500,1862200,1302300,2452700,6809800,5356400,8416000,13854000,10590000,17391000,766810,535720,972490,1292200,951570,1608900,636530,440020,833270,1207600,887570,1564700,3893300,2814900,4948400
943,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3477700,2538900,4541900,1873500,1339300,2389600,2062200,1427100,2721800,6992700,5474600,8687000,14397000,10915000,18170000,953370,664240,1220300,1587300,1175200,2007800,802260,557010,1064400,1456300,1061600,1904900,4805400,3471200,6198500
944,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4822500,3536100,6260400,2542400,1866100,3169800,2890000,2089000,3741900,8981600,7072600,11255000,19246000,14612000,24345000,1087800,766350,1410400,1771100,1322400,2267900,904090,634580,1212300,1660500,1214700,2187500,5413900,3949700,7058800
945,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3536300,2572800,4627400,1871000,1337700,2386600,2084200,1441100,2751500,7025800,5496000,8736100,14624000,11051000,18497000,1136700,808010,1480300,1847800,1386200,2373200,960390,680400,1291200,1806100,1327000,2382500,5703800,4193700,7456100
946,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4026500,2897700,5303100,2163600,1546600,2743600,2448800,1700200,3220700,7885700,6132700,9947400,16498000,12317000,21068000,1078700,759130,1397500,1771600,1322800,2268700,918800,646490,1233300,1699800,1245200,2240300,5433500,3966400,7085800
947,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3265700,2416400,4233000,1743200,1254800,2227200,1954300,1359500,2576700,6654400,5255300,8186300,13575000,10423000,16992000,1027300,719040,1325600,1696600,1261400,2163800,880220,615710,1178300,1586100,1157500,2087800,5187200,3761300,6747500
948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3057500,2296600,3931100,1639900,1188600,2098600,1797200,1262400,2365300,6387300,5081200,7792400,12766000,9939200,15833000,650580,463850,817830,1132000,837780,1395800,561220,390320,729160,1055000,788440,1356200,3385300,2475800,4246800
949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3310200,2442100,4297700,1796100,1288900,2293100,1982100,1376900,2614100,6714800,5294500,8275400,13767000,10538000,17267000,849460,591780,1080000,1448500,1069100,1813900,736420,510060,969640,1357300,992250,1765600,4376500,3160000,5601300
950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3481600,2581300,4308300,2050100,1531100,2497100,2329000,1719400,2885700,7202800,5520700,8777000,14389000,11184000,17817000,1104300,814250,1370600,1795900,1409200,2217400,924230,690900,1204800,1683700,1292000,2171000,5547500,4198100,6926400
951,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6697800,5679000,8304700,3098300,2589000,3754400,3646200,2953800,4486300,11517000,9678800,14762000,25810000,22054000,31633000,1674900,1313500,2100700,2623400,2120200,3245700,1412700,1092000,1826000,2597500,2028800,3293100,8271900,6506900,10403000
